reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Brazil,2009,Import,  All Products,Import (US$ Thousand),127722340.4,100
Brazil,2009,Import, Capital goods,Macro Import (US$ Thousand),46144660.69,36.1289
Brazil,2009,Import, Consumer goods,Macro Import (US$ Thousand),29355340.51,22.9837
Brazil,2009,Import, Intermediate goods,Macro Import (US$ Thousand),35638123.77,27.9028
Brazil,2009,Import, Raw materials,Macro Import (US$ Thousand),16550014.27,12.9578
Brazil,2009,Import,Other,Macro Import (US$ Thousand),34201.167,0.0268
Brazil,2009,Import,Animal,Micro Import (US$ Thousand),1294022.815,1.0132
Brazil,2009,Import,Chemicals,Micro Import (US$ Thousand),21497516.55,16.8314
Brazil,2009,Import,Food Products,Micro Import (US$ Thousand),1568651.921,1.2282
Brazil,2009,Import,Footwear,Micro Import (US$ Thousand),420639.587,0.3293
Brazil,2009,Import,Fuels,Micro Import (US$ Thousand),18866240.1,14.7713
Brazil,2009,Import,Hides and Skins,Micro Import (US$ Thousand),338130.923,0.2647
Brazil,2009,Import,Mach and Elec,Micro Import (US$ Thousand),36606043.74,28.6606
Brazil,2009,Import,Metals,Micro Import (US$ Thousand),7783272.155,6.0939
Brazil,2009,Import,Minerals,Micro Import (US$ Thousand),1315027.131,1.0296
Brazil,2009,Import,Miscellaneous,Micro Import (US$ Thousand),6149436.613,4.8147
Brazil,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),7098247.073,5.5576
Brazil,2009,Import,Stone and Glass,Micro Import (US$ Thousand),1234622.622,0.9666
Brazil,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),3480840.714,2.7253
Brazil,2009,Import,Transportation,Micro Import (US$ Thousand),14189048.83,11.1093
Brazil,2009,Import,Vegetable,Micro Import (US$ Thousand),4246910.914,3.3251
Brazil,2009,Import,Wood,Micro Import (US$ Thousand),1633688.729,1.2791
Brazil,2010,Export,  All Products,Export (US$ Thousand),201915103.3,100
Brazil,2010,Export, Capital goods,Macro Export (US$ Thousand),28822289.77,14.2745
Brazil,2010,Export, Consumer goods,Macro Export (US$ Thousand),29517542.62,14.6188
Brazil,2010,Export, Intermediate goods,Macro Export (US$ Thousand),55109236.4,27.2933
Brazil,2010,Export, Raw materials,Macro Export (US$ Thousand),84671278.1,41.9341
Brazil,2010,Export,Other,Macro Export (US$ Thousand),3794756.401,1.8793
Brazil,2010,Export,Animal,Micro Export (US$ Thousand),13526367.76,6.699
Brazil,2010,Export,Chemicals,Micro Export (US$ Thousand),10221904.56,5.0625
Brazil,2010,Export,Food Products,Micro Export (US$ Thousand),27056924.05,13.4001
Brazil,2010,Export,Footwear,Micro Export (US$ Thousand),1653020.785,0.8187
Brazil,2010,Export,Fuels,Micro Export (US$ Thousand),19843525.22,9.8277
Brazil,2010,Export,Hides and Skins,Micro Export (US$ Thousand),1865719.372,0.924
Brazil,2010,Export,Mach and Elec,Micro Export (US$ Thousand),16216853.42,8.0315
Brazil,2010,Export,Metals,Micro Export (US$ Thousand),14412393.34,7.1378
Brazil,2010,Export,Minerals,Micro Export (US$ Thousand),31557706.83,15.6292
Brazil,2010,Export,Miscellaneous,Micro Export (US$ Thousand),6023872.807,2.9834
Brazil,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),5341983.477,2.6457
Brazil,2010,Export,Stone and Glass,Micro Export (US$ Thousand),3954262.609,1.9584
Brazil,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),2265485.266,1.122
Brazil,2010,Export,Transportation,Micro Export (US$ Thousand),17272785.12,8.5545
Brazil,2010,Export,Vegetable,Micro Export (US$ Thousand),21961920.78,10.8768
Brazil,2010,Export,Wood,Micro Export (US$ Thousand),8740377.885,4.3287
Brazil,2010,Import,  All Products,Import (US$ Thousand),181768424.1,100
Brazil,2010,Import, Capital goods,Macro Import (US$ Thousand),64207855.37,35.324
Brazil,2010,Import, Consumer goods,Macro Import (US$ Thousand),47182246.87,25.9573
Brazil,2010,Import, Intermediate goods,Macro Import (US$ Thousand),49912308.83,27.4593
Brazil,2010,Import, Raw materials,Macro Import (US$ Thousand),20417424.13,11.2327
Brazil,2010,Import,Other,Macro Import (US$ Thousand),48588.896,0.0267
Brazil,2010,Import,Animal,Micro Import (US$ Thousand),1674708.838,0.9213
Brazil,2010,Import,Chemicals,Micro Import (US$ Thousand),27110091.42,14.9146
Brazil,2010,Import,Food Products,Micro Import (US$ Thousand),2013601.843,1.1078
Brazil,2010,Import,Footwear,Micro Import (US$ Thousand),493608,0.2716
Brazil,2010,Import,Fuels,Micro Import (US$ Thousand),29954315.11,16.4794
Brazil,2010,Import,Hides and Skins,Micro Import (US$ Thousand),475577.116,0.2616
Brazil,2010,Import,Mach and Elec,Micro Import (US$ Thousand),50792275.26,27.9434
Brazil,2010,Import,Metals,Micro Import (US$ Thousand),13371527.49,7.3564
Brazil,2010,Import,Minerals,Micro Import (US$ Thousand),2073832.341,1.1409
Brazil,2010,Import,Miscellaneous,Micro Import (US$ Thousand),8025322.083,4.4151
Brazil,2010,Import,Plastic or Rubber,Micro Import (US$ Thousand),10529405.35,5.7928
Brazil,2010,Import,Stone and Glass,Micro Import (US$ Thousand),1891318.425,1.0405
Brazil,2010,Import,Textiles and Clothing,Micro Import (US$ Thousand),5038057.185,2.7717
Brazil,2010,Import,Transportation,Micro Import (US$ Thousand),20900466.76,11.4984
Brazil,2010,Import,Vegetable,Micro Import (US$ Thousand),5171949.759,2.8454
Brazil,2010,Import,Wood,Micro Import (US$ Thousand),2252367.109,1.2391
Brazil,2011,Export,  All Products,Export (US$ Thousand),256038702.1,100
Brazil,2011,Export, Capital goods,Macro Export (US$ Thousand),34498610.75,13.474
Brazil,2011,Export, Consumer goods,Macro Export (US$ Thousand),32814317.39,12.8162
Brazil,2011,Export, Intermediate goods,Macro Export (US$ Thousand),68229021.42,26.6479
Brazil,2011,Export, Raw materials,Macro Export (US$ Thousand),115416334.7,45.0777
Brazil,2011,Export,Other,Macro Export (US$ Thousand),5080417.779,1.9842
Brazil,2011,Export,Animal,Micro Export (US$ Thousand),15214520.68,5.9423
Brazil,2011,Export,Chemicals,Micro Export (US$ Thousand),12180118.01,4.7571
Brazil,2011,Export,Food Products,Micro Export (US$ Thousand),31786692.75,12.4148
Brazil,2011,Export,Footwear,Micro Export (US$ Thousand),1504116.066,0.5875
Brazil,2011,Export,Fuels,Micro Export (US$ Thousand),26791103.7,10.4637
Brazil,2011,Export,Hides and Skins,Micro Export (US$ Thousand),2160039.185,0.8436
Brazil,2011,Export,Mach and Elec,Micro Export (US$ Thousand),19225287.89,7.5087
Brazil,2011,Export,Metals,Micro Export (US$ Thousand),18940910.17,7.3977
Brazil,2011,Export,Minerals,Micro Export (US$ Thousand),44994214.55,17.5732
Brazil,2011,Export,Miscellaneous,Micro Export (US$ Thousand),7496852.334,2.928
Brazil,2011,Export,Plastic or Rubber,Micro Export (US$ Thousand),6610855.384,2.582
Brazil,2011,Export,Stone and Glass,Micro Export (US$ Thousand),4685044.618,1.8298
Brazil,2011,Export,Textiles and Clothing,Micro Export (US$ Thousand),3012953.574,1.1768
Brazil,2011,Export,Transportation,Micro Export (US$ Thousand),19575440.67,7.6455
Brazil,2011,Export,Vegetable,Micro Export (US$ Thousand),32709162.32,12.7751
Brazil,2011,Export,Wood,Micro Export (US$ Thousand),9151390.152,3.5742
Brazil,2011,Import,  All Products,Import (US$ Thousand),226246755.8,100
Brazil,2011,Import, Capital goods,Macro Import (US$ Thousand),74215115.49,32.8027
Brazil,2011,Import, Consumer goods,Macro Import (US$ Thousand),62535666.5,27.6405
Brazil,2011,Import, Intermediate goods,Macro Import (US$ Thousand),61678679.62,27.2617
Brazil,2011,Import, Raw materials,Macro Import (US$ Thousand),27739345.76,12.2607
Brazil,2011,Import,Other,Macro Import (US$ Thousand),77948.422,0.0344
Brazil,2011,Import,Animal,Micro Import (US$ Thousand),2298277.224,1.0158
Brazil,2011,Import,Chemicals,Micro Import (US$ Thousand),34418728.71,15.2129
Brazil,2011,Import,Food Products,Micro Import (US$ Thousand),3091023.411,1.3662
Brazil,2011,Import,Footwear,Micro Import (US$ Thousand),642500.17,0.284
Brazil,2011,Import,Fuels,Micro Import (US$ Thousand),41968734.92,18.55
Brazil,2011,Import,Hides and Skins,Micro Import (US$ Thousand),612572.492,0.2708
Brazil,2011,Import,Mach and Elec,Micro Import (US$ Thousand),60107586.7,26.5673
Brazil,2011,Import,Metals,Micro Import (US$ Thousand),14243655.04,6.2956
Brazil,2011,Import,Minerals,Micro Import (US$ Thousand),2567170.808,1.1347
Brazil,2011,Import,Miscellaneous,Micro Import (US$ Thousand),8763189.072,3.8733
Brazil,2011,Import,Plastic or Rubber,Micro Import (US$ Thousand),13234493.94,5.8496
Brazil,2011,Import,Stone and Glass,Micro Import (US$ Thousand),2531708.435,1.119
Brazil,2011,Import,Textiles and Clothing,Micro Import (US$ Thousand),6567583.707,2.9028
Brazil,2011,Import,Transportation,Micro Import (US$ Thousand),26377040.15,11.6585
Brazil,2011,Import,Vegetable,Micro Import (US$ Thousand),6241721.199,2.7588
Brazil,2011,Import,Wood,Micro Import (US$ Thousand),2580769.83,1.1407
Brazil,2012,Export,  All Products,Export (US$ Thousand),242578013.5,100
Brazil,2012,Export, Capital goods,Macro Export (US$ Thousand),34713772.2,14.3104
Brazil,2012,Export, Consumer goods,Macro Export (US$ Thousand),32002652.18,13.1927
Brazil,2012,Export, Intermediate goods,Macro Export (US$ Thousand),64746252.97,26.6909
Brazil,2012,Export, Raw materials,Macro Export (US$ Thousand),105477968.7,43.4821
Brazil,2012,Export,Other,Macro Export (US$ Thousand),5637367.529,2.3239
Brazil,2012,Export,Animal,Micro Export (US$ Thousand),15362933.07,6.3332
Brazil,2012,Export,Chemicals,Micro Export (US$ Thousand),11498124.08,4.74
Brazil,2012,Export,Food Products,Micro Export (US$ Thousand),31225729.51,12.8724
Brazil,2012,Export,Footwear,Micro Export (US$ Thousand),1291845.3,0.5325
Brazil,2012,Export,Fuels,Micro Export (US$ Thousand),26469293.93,10.9117
Brazil,2012,Export,Hides and Skins,Micro Export (US$ Thousand),2180328.387,0.8988
Brazil,2012,Export,Mach and Elec,Micro Export (US$ Thousand),18804917.89,7.7521
Brazil,2012,Export,Metals,Micro Export (US$ Thousand),17239802.27,7.1069
Brazil,2012,Export,Minerals,Micro Export (US$ Thousand),34012054.65,14.0211
Brazil,2012,Export,Miscellaneous,Micro Export (US$ Thousand),8191235.98,3.3767
Brazil,2012,Export,Plastic or Rubber,Micro Export (US$ Thousand),6113183.14,2.5201
Brazil,2012,Export,Stone and Glass,Micro Export (US$ Thousand),4957332.149,2.0436
Brazil,2012,Export,Textiles and Clothing,Micro Export (US$ Thousand),3396661.559,1.4002
Brazil,2012,Export,Transportation,Micro Export (US$ Thousand),19436478.41,8.0125
Brazil,2012,Export,Vegetable,Micro Export (US$ Thousand),33725571.43,13.903
Brazil,2012,Export,Wood,Micro Export (US$ Thousand),8672521.788,3.5751
Brazil,2012,Import,  All Products,Import (US$ Thousand),223183474.7,100
Brazil,2012,Import, Capital goods,Macro Import (US$ Thousand),75830612.82,33.9768
Brazil,2012,Import, Consumer goods,Macro Import (US$ Thousand),62259851.19,27.8963
Brazil,2012,Import, Intermediate goods,Macro Import (US$ Thousand),60468519.04,27.0936
Brazil,2012,Import, Raw materials,Macro Import (US$ Thousand),24577340.79,11.0122
Brazil,2012,Import,Other,Macro Import (US$ Thousand),47150.829,0.0211
