reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Italy,2009,Import, Consumer goods,Macro Import (US$ Thousand),160282718.6,38.6425
Italy,2009,Import, Intermediate goods,Macro Import (US$ Thousand),100025349.9,24.1151
Italy,2009,Import, Raw materials,Macro Import (US$ Thousand),64218505.78,15.4824
Italy,2009,Import,Other,Macro Import (US$ Thousand),8306376.254,2.0025
Italy,2009,Import,Animal,Micro Import (US$ Thousand),15428690.08,3.7197
Italy,2009,Import,Chemicals,Micro Import (US$ Thousand),47305992.64,11.405
Italy,2009,Import,Food Products,Micro Import (US$ Thousand),14246263.86,3.4346
Italy,2009,Import,Footwear,Micro Import (US$ Thousand),5637525.371,1.3591
Italy,2009,Import,Fuels,Micro Import (US$ Thousand),72797935.69,17.5508
Italy,2009,Import,Hides and Skins,Micro Import (US$ Thousand),4769527.718,1.1499
Italy,2009,Import,Mach and Elec,Micro Import (US$ Thousand),68634513.45,16.5471
Italy,2009,Import,Metals,Micro Import (US$ Thousand),30236107,7.2896
Italy,2009,Import,Minerals,Micro Import (US$ Thousand),2608882.225,0.629
Italy,2009,Import,Miscellaneous,Micro Import (US$ Thousand),27147994.24,6.5451
Italy,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),18890924.46,4.5544
Italy,2009,Import,Stone and Glass,Micro Import (US$ Thousand),10595130.7,2.5544
Italy,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),22668518.38,5.4651
Italy,2009,Import,Transportation,Micro Import (US$ Thousand),47316640.6,11.4075
Italy,2009,Import,Vegetable,Micro Import (US$ Thousand),14083765.57,3.3954
Italy,2009,Import,Wood,Micro Import (US$ Thousand),12415226.39,2.9932
Italy,2010,Export,  All Products,Export (US$ Thousand),446839829.7,100
Italy,2010,Export, Capital goods,Macro Export (US$ Thousand),144903814.6,32.4286
Italy,2010,Export, Consumer goods,Macro Export (US$ Thousand),182943494.8,40.9416
Italy,2010,Export, Intermediate goods,Macro Export (US$ Thousand),96506354.18,21.5975
Italy,2010,Export, Raw materials,Macro Export (US$ Thousand),13355249.61,2.9888
Italy,2010,Export,Other,Macro Export (US$ Thousand),9130916.58,2.0435
Italy,2010,Export,Animal,Micro Export (US$ Thousand),5464186.078,1.2229
Italy,2010,Export,Chemicals,Micro Export (US$ Thousand),38940213.28,8.7146
Italy,2010,Export,Food Products,Micro Export (US$ Thousand),19894345.97,4.4522
Italy,2010,Export,Footwear,Micro Export (US$ Thousand),10231807,2.2898
Italy,2010,Export,Fuels,Micro Export (US$ Thousand),20730800.37,4.6394
Italy,2010,Export,Hides and Skins,Micro Export (US$ Thousand),9948602.29,2.2264
Italy,2010,Export,Mach and Elec,Micro Export (US$ Thousand),116191492.3,26.0029
Italy,2010,Export,Metals,Micro Export (US$ Thousand),45542353.71,10.1921
Italy,2010,Export,Minerals,Micro Export (US$ Thousand),1214479.195,0.2718
Italy,2010,Export,Miscellaneous,Micro Export (US$ Thousand),36909920.07,8.2602
Italy,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),22723159.22,5.0853
Italy,2010,Export,Stone and Glass,Micro Export (US$ Thousand),21395837.23,4.7883
Italy,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),31657758.39,7.0848
Italy,2010,Export,Transportation,Micro Export (US$ Thousand),43756113.42,9.7923
Italy,2010,Export,Vegetable,Micro Export (US$ Thousand),11033339.56,2.4692
Italy,2010,Export,Wood,Micro Export (US$ Thousand),11205421.62,2.5077
Italy,2010,Import,  All Products,Import (US$ Thousand),486984371.9,100
Italy,2010,Import, Capital goods,Macro Import (US$ Thousand),102912772.6,21.1327
Italy,2010,Import, Consumer goods,Macro Import (US$ Thousand),169884065,34.8849
Italy,2010,Import, Intermediate goods,Macro Import (US$ Thousand),124453602.1,25.556
Italy,2010,Import, Raw materials,Macro Import (US$ Thousand),83112638.46,17.0668
Italy,2010,Import,Other,Macro Import (US$ Thousand),6621293.811,1.3596
Italy,2010,Import,Animal,Micro Import (US$ Thousand),16709453.91,3.4312
Italy,2010,Import,Chemicals,Micro Import (US$ Thousand),50938711.96,10.46
