reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_dollars
Germany,2015,Import,Hides and Skins,Micro Import (US$ Thousand),5486579.07,0.5188
Germany,2015,Import,Mach and Elec,Micro Import (US$ Thousand),252203860.7,23.8483
Germany,2015,Import,Metals,Micro Import (US$ Thousand),87866416.88,8.3086
Germany,2015,Import,Minerals,Micro Import (US$ Thousand),9175462.69,0.8676
Germany,2015,Import,Miscellaneous,Micro Import (US$ Thousand),92432184.12,8.7403
Germany,2015,Import,Plastic or Rubber,Micro Import (US$ Thousand),54013609.58,5.1075
Germany,2015,Import,Stone and Glass,Micro Import (US$ Thousand),26484858.89,2.5044
Germany,2015,Import,Textiles and Clothing,Micro Import (US$ Thousand),48267594.59,4.5642
Germany,2015,Import,Transportation,Micro Import (US$ Thousand),130310405.2,12.3221
Germany,2015,Import,Vegetable,Micro Import (US$ Thousand),37406498.77,3.5371
Germany,2015,Import,Wood,Micro Import (US$ Thousand),29202856.1,2.7614
Germany,2016,Export,  All Products,Export (US$ Thousand),1337236558,100
Germany,2016,Export, Capital goods,Macro Export (US$ Thousand),517828228.4,38.7238
Germany,2016,Export, Consumer goods,Macro Export (US$ Thousand),477193316.5,35.685
Germany,2016,Export, Intermediate goods,Macro Export (US$ Thousand),244846220.3,18.3099
Germany,2016,Export, Raw materials,Macro Export (US$ Thousand),34956851.59,2.6141
Germany,2016,Export,Other,Macro Export (US$ Thousand),62411940.84,4.6672
Germany,2016,Export,Animal,Micro Export (US$ Thousand),21622891.81,1.617
Germany,2016,Export,Chemicals,Micro Export (US$ Thousand),165086957.6,12.3454
Germany,2016,Export,Food Products,Micro Export (US$ Thousand),42195966.31,3.1555
Germany,2016,Export,Footwear,Micro Export (US$ Thousand),6702984.646,0.5013
Germany,2016,Export,Fuels,Micro Export (US$ Thousand),23076041.32,1.7257
Germany,2016,Export,Hides and Skins,Micro Export (US$ Thousand),3490526.807,0.261
Germany,2016,Export,Mach and Elec,Micro Export (US$ Thousand),352352139.1,26.3493
Germany,2016,Export,Metals,Micro Export (US$ Thousand),95074690.86,7.1098
Germany,2016,Export,Minerals,Micro Export (US$ Thousand),2610711.585,0.1952
Germany,2016,Export,Miscellaneous,Micro Export (US$ Thousand),142229415.9,10.6361
Germany,2016,Export,Plastic or Rubber,Micro Export (US$ Thousand),71366639.89,5.3369
Germany,2016,Export,Stone and Glass,Micro Export (US$ Thousand),26963386.72,2.0164
Germany,2016,Export,Textiles and Clothing,Micro Export (US$ Thousand),31713285.44,2.3716
Germany,2016,Export,Transportation,Micro Export (US$ Thousand),299954681,22.4309
Germany,2016,Export,Vegetable,Micro Export (US$ Thousand),17805062.98,1.3315
Germany,2016,Export,Wood,Micro Export (US$ Thousand),34991175.75,2.6167
Germany,2016,Import,  All Products,Import (US$ Thousand),1060882070,100
Germany,2016,Import, Capital goods,Macro Import (US$ Thousand),331995354.9,31.2943
Germany,2016,Import, Consumer goods,Macro Import (US$ Thousand),362983086.9,34.2152
Germany,2016,Import, Intermediate goods,Macro Import (US$ Thousand),211522107,19.9383
Germany,2016,Import, Raw materials,Macro Import (US$ Thousand),95651865.04,9.0163
Germany,2016,Import,Other,Macro Import (US$ Thousand),58729656.28,5.5359
Germany,2016,Import,Animal,Micro Import (US$ Thousand),22445508.85,2.1157
Germany,2016,Import,Chemicals,Micro Import (US$ Thousand),117759145.1,11.1001
Germany,2016,Import,Food Products,Micro Import (US$ Thousand),36100209.12,3.4028
Germany,2016,Import,Footwear,Micro Import (US$ Thousand),12327634.44,1.162
Germany,2016,Import,Fuels,Micro Import (US$ Thousand),78322470.16,7.3828
Germany,2016,Import,Hides and Skins,Micro Import (US$ Thousand),5478581.842,0.5164
Germany,2016,Import,Mach and Elec,Micro Import (US$ Thousand),259697238.8,24.4794
Germany,2016,Import,Metals,Micro Import (US$ Thousand),85455430.12,8.0551
Germany,2016,Import,Minerals,Micro Import (US$ Thousand),8487835.517,0.8001
Germany,2016,Import,Miscellaneous,Micro Import (US$ Thousand),97407185.14,9.1817
Germany,2016,Import,Plastic or Rubber,Micro Import (US$ Thousand),55076643.28,5.1916
Germany,2016,Import,Stone and Glass,Micro Import (US$ Thousand),27678549.26,2.609
Germany,2016,Import,Textiles and Clothing,Micro Import (US$ Thousand),49509795.52,4.6669
Germany,2016,Import,Transportation,Micro Import (US$ Thousand),136782768.2,12.8933
Germany,2016,Import,Vegetable,Micro Import (US$ Thousand),38518384.2,3.6308
Germany,2016,Import,Wood,Micro Import (US$ Thousand),29834690.59,2.8123
Germany,2017,Export,  All Products,Export (US$ Thousand),1446642435,100
Germany,2017,Export, Capital goods,Macro Export (US$ Thousand),568000341.7,39.2634
Germany,2017,Export, Consumer goods,Macro Export (US$ Thousand),512276926,35.4114
Germany,2017,Export, Intermediate goods,Macro Export (US$ Thousand),270450029.4,18.695
Germany,2017,Export, Raw materials,Macro Export (US$ Thousand),37516589.99,2.5934
Germany,2017,Export,Other,Macro Export (US$ Thousand),58398548.14,4.0368
Germany,2017,Export,Animal,Micro Export (US$ Thousand),23512074,1.6253
Germany,2017,Export,Chemicals,Micro Export (US$ Thousand),178418580.8,12.3333
Germany,2017,Export,Food Products,Micro Export (US$ Thousand),44001074.1,3.0416
Germany,2017,Export,Footwear,Micro Export (US$ Thousand),8338825.369,0.5764
Germany,2017,Export,Fuels,Micro Export (US$ Thousand),26149968.66,1.8076
Germany,2017,Export,Hides and Skins,Micro Export (US$ Thousand),3784959.191,0.2616
Germany,2017,Export,Mach and Elec,Micro Export (US$ Thousand),391418276.3,27.057
Germany,2017,Export,Metals,Micro Export (US$ Thousand),107275906.9,7.4155
Germany,2017,Export,Minerals,Micro Export (US$ Thousand),3458305.415,0.2391
Germany,2017,Export,Miscellaneous,Micro Export (US$ Thousand),150250238.3,10.3861
Germany,2017,Export,Plastic or Rubber,Micro Export (US$ Thousand),80595646.23,5.5712
Germany,2017,Export,Stone and Glass,Micro Export (US$ Thousand),27584625.89,1.9068
Germany,2017,Export,Textiles and Clothing,Micro Export (US$ Thousand),35562125.1,2.4583
Germany,2017,Export,Transportation,Micro Export (US$ Thousand),311825140.6,21.5551
Germany,2017,Export,Vegetable,Micro Export (US$ Thousand),18043330.59,1.2473
Germany,2017,Export,Wood,Micro Export (US$ Thousand),36423357.79,2.5178
Germany,2017,Import,  All Products,Import (US$ Thousand),1167753355,100
Germany,2017,Import, Capital goods,Macro Import (US$ Thousand),361193165.1,30.9306
Germany,2017,Import, Consumer goods,Macro Import (US$ Thousand),390421791.2,33.4336
Germany,2017,Import, Intermediate goods,Macro Import (US$ Thousand),240405761.5,20.587
Germany,2017,Import, Raw materials,Macro Import (US$ Thousand),111941104,9.586
Germany,2017,Import,Other,Macro Import (US$ Thousand),63791533.41,5.4628
Germany,2017,Import,Animal,Micro Import (US$ Thousand),24065406.82,2.0608
Germany,2017,Import,Chemicals,Micro Import (US$ Thousand),129246296.8,11.0679
Germany,2017,Import,Food Products,Micro Import (US$ Thousand),38549252.32,3.3011
Germany,2017,Import,Footwear,Micro Import (US$ Thousand),13756293.65,1.178
Germany,2017,Import,Fuels,Micro Import (US$ Thousand),92127407.63,7.8893
Germany,2017,Import,Hides and Skins,Micro Import (US$ Thousand),5752698.729,0.4926
Germany,2017,Import,Mach and Elec,Micro Import (US$ Thousand),287131623.7,24.5884
Germany,2017,Import,Metals,Micro Import (US$ Thousand),98820309.46,8.4624
Germany,2017,Import,Minerals,Micro Import (US$ Thousand),11551318.01,0.9892
Germany,2017,Import,Miscellaneous,Micro Import (US$ Thousand),107204475.8,9.1804
Germany,2017,Import,Plastic or Rubber,Micro Import (US$ Thousand),60691119.05,5.1973
Germany,2017,Import,Stone and Glass,Micro Import (US$ Thousand),28517225.62,2.4421
Germany,2017,Import,Textiles and Clothing,Micro Import (US$ Thousand),52639602.86,4.5078
Germany,2017,Import,Transportation,Micro Import (US$ Thousand),146710000.5,12.5634
Germany,2017,Import,Vegetable,Micro Import (US$ Thousand),40079402.81,3.4322
Germany,2017,Import,Wood,Micro Import (US$ Thousand),30910921.36,2.647
Germany,2018,Export,  All Products,Export (US$ Thousand),1562418816,100
Germany,2018,Export, Capital goods,Macro Export (US$ Thousand),621786534.3,39.7964
Germany,2018,Export, Consumer goods,Macro Export (US$ Thousand),544090494.9,34.8236
Germany,2018,Export, Intermediate goods,Macro Export (US$ Thousand),292976216.9,18.7515
Germany,2018,Export, Raw materials,Macro Export (US$ Thousand),38142595.2,2.4413
Germany,2018,Export,Other,Macro Export (US$ Thousand),65422974.93,4.1872
Germany,2018,Export,Animal,Micro Export (US$ Thousand),23295752.34,1.491
Germany,2018,Export,Chemicals,Micro Export (US$ Thousand),200393294.1,12.8258
Germany,2018,Export,Food Products,Micro Export (US$ Thousand),46927901.9,3.0035
Germany,2018,Export,Footwear,Micro Export (US$ Thousand),9543098.146,0.6108
Germany,2018,Export,Fuels,Micro Export (US$ Thousand),33282784.6,2.1302
Germany,2018,Export,Hides and Skins,Micro Export (US$ Thousand),4003031.335,0.2562
Germany,2018,Export,Mach and Elec,Micro Export (US$ Thousand),430270641.5,27.5388
Germany,2018,Export,Metals,Micro Export (US$ Thousand),117569930.6,7.5249
Germany,2018,Export,Minerals,Micro Export (US$ Thousand),3675051.541,0.2352
Germany,2018,Export,Miscellaneous,Micro Export (US$ Thousand),161535482.9,10.3388
Germany,2018,Export,Plastic or Rubber,Micro Export (US$ Thousand),83926934.58,5.3716
Germany,2018,Export,Stone and Glass,Micro Export (US$ Thousand),30583844.52,1.9575
Germany,2018,Export,Textiles and Clothing,Micro Export (US$ Thousand),39706725.6,2.5414
Germany,2018,Export,Transportation,Micro Export (US$ Thousand),319218668.7,20.4311
Germany,2018,Export,Vegetable,Micro Export (US$ Thousand),18079025.43,1.1571
Germany,2018,Export,Wood,Micro Export (US$ Thousand),40406648.63,2.5862
Germany,2018,Import,  All Products,Import (US$ Thousand),1292726052,100
Germany,2018,Import, Capital goods,Macro Import (US$ Thousand),393746493.4,30.4586
Germany,2018,Import, Consumer goods,Macro Import (US$ Thousand),428879801.3,33.1764
Germany,2018,Import, Intermediate goods,Macro Import (US$ Thousand),270742018.1,20.9435
Germany,2018,Import, Raw materials,Macro Import (US$ Thousand),123971234.3,9.5899
Germany,2018,Import,Other,Macro Import (US$ Thousand),75386505.1,5.8316
Germany,2018,Import,Animal,Micro Import (US$ Thousand),24329874.82,1.8821
Germany,2018,Import,Chemicals,Micro Import (US$ Thousand),149380205,11.5554
Germany,2018,Import,Food Products,Micro Import (US$ Thousand),41602977.71,3.2182
Germany,2018,Import,Footwear,Micro Import (US$ Thousand),14585773.88,1.1283
Germany,2018,Import,Fuels,Micro Import (US$ Thousand),117698928.6,9.1047
Germany,2018,Import,Hides and Skins,Micro Import (US$ Thousand),5925017.761,0.4583
Germany,2018,Import,Mach and Elec,Micro Import (US$ Thousand),315612728.6,24.4145
Germany,2018,Import,Metals,Micro Import (US$ Thousand),110600272.6,8.5556
Germany,2018,Import,Minerals,Micro Import (US$ Thousand),12675897.43,0.9806
Germany,2018,Import,Miscellaneous,Micro Import (US$ Thousand),117547229.1,9.093
Germany,2018,Import,Plastic or Rubber,Micro Import (US$ Thousand),66255811.31,5.1253
Germany,2018,Import,Stone and Glass,Micro Import (US$ Thousand),30018830.92,2.3221
Germany,2018,Import,Textiles and Clothing,Micro Import (US$ Thousand),55827965.53,4.3186
Germany,2018,Import,Transportation,Micro Import (US$ Thousand),154942951.6,11.9858
Germany,2018,Import,Vegetable,Micro Import (US$ Thousand),41565770.99,3.2154
Germany,2018,Import,Wood,Micro Import (US$ Thousand),34155816.44,2.6422
