reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_dollars
Germany,2009,Import,Mach and Elec,Micro Import (US$ Thousand),214840826.8,23.1287
Germany,2009,Import,Metals,Micro Import (US$ Thousand),68359936.03,7.3593
Germany,2009,Import,Minerals,Micro Import (US$ Thousand),8182936,0.8809
Germany,2009,Import,Miscellaneous,Micro Import (US$ Thousand),79613702.15,8.5708
Germany,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),41165349.44,4.4317
Germany,2009,Import,Stone and Glass,Micro Import (US$ Thousand),21357213.45,2.2992
Germany,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),44036708.17,4.7408
Germany,2009,Import,Transportation,Micro Import (US$ Thousand),111346169,11.987
Germany,2009,Import,Vegetable,Micro Import (US$ Thousand),32169577.84,3.4632
Germany,2009,Import,Wood,Micro Import (US$ Thousand),27277138.09,2.9365
Germany,2010,Export,  All Products,Export (US$ Thousand),1267743109,100
Germany,2010,Export, Capital goods,Macro Export (US$ Thousand),477522231.5,37.6671
Germany,2010,Export, Consumer goods,Macro Export (US$ Thousand),436545693.7,34.4349
Germany,2010,Export, Intermediate goods,Macro Export (US$ Thousand),256616382.6,20.242
Germany,2010,Export, Raw materials,Macro Export (US$ Thousand),39238463.93,3.0951
Germany,2010,Export,Other,Macro Export (US$ Thousand),57820337.13,4.5609
Germany,2010,Export,Animal,Micro Export (US$ Thousand),21491452.08,1.6953
Germany,2010,Export,Chemicals,Micro Export (US$ Thousand),153288575.8,12.0915
Germany,2010,Export,Food Products,Micro Export (US$ Thousand),36841422.25,2.9061
Germany,2010,Export,Footwear,Micro Export (US$ Thousand),4667132.599,0.3681
Germany,2010,Export,Fuels,Micro Export (US$ Thousand),26674381.4,2.1041
Germany,2010,Export,Hides and Skins,Micro Export (US$ Thousand),3131156.779,0.247
Germany,2010,Export,Mach and Elec,Micro Export (US$ Thousand),351848085.8,27.7539
Germany,2010,Export,Metals,Micro Export (US$ Thousand),104533645.7,8.2456
Germany,2010,Export,Minerals,Micro Export (US$ Thousand),2965220.614,0.2339
Germany,2010,Export,Miscellaneous,Micro Export (US$ Thousand),130064777.5,10.2596
Germany,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),68937076.2,5.4378
Germany,2010,Export,Stone and Glass,Micro Export (US$ Thousand),29092684.54,2.2948
Germany,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),32548038.62,2.5674
Germany,2010,Export,Transportation,Micro Export (US$ Thousand),246360439.4,19.433
Germany,2010,Export,Vegetable,Micro Export (US$ Thousand),15419964.67,1.2163
Germany,2010,Export,Wood,Micro Export (US$ Thousand),39879055.08,3.1457
Germany,2010,Import,  All Products,Import (US$ Thousand),1060672352,100
Germany,2010,Import, Capital goods,Macro Import (US$ Thousand),322335292.9,30.3897
Germany,2010,Import, Consumer goods,Macro Import (US$ Thousand),343791076.8,32.4126
Germany,2010,Import, Intermediate goods,Macro Import (US$ Thousand),229041010.9,21.5939
Germany,2010,Import, Raw materials,Macro Import (US$ Thousand),125208940.3,11.8047
Germany,2010,Import,Other,Macro Import (US$ Thousand),40296031.18,3.7991
Germany,2010,Import,Animal,Micro Import (US$ Thousand),20931139.63,1.9734
Germany,2010,Import,Chemicals,Micro Import (US$ Thousand),114477651.9,10.7929
Germany,2010,Import,Food Products,Micro Import (US$ Thousand),32994655.65,3.1107
Germany,2010,Import,Footwear,Micro Import (US$ Thousand),8966908.547,0.8454
Germany,2010,Import,Fuels,Micro Import (US$ Thousand),124577581.7,11.7452
Germany,2010,Import,Hides and Skins,Micro Import (US$ Thousand),4655827.983,0.439
Germany,2010,Import,Mach and Elec,Micro Import (US$ Thousand),255831535.1,24.1198
Germany,2010,Import,Metals,Micro Import (US$ Thousand),91298943.12,8.6076
Germany,2010,Import,Minerals,Micro Import (US$ Thousand),12457339.91,1.1745
Germany,2010,Import,Miscellaneous,Micro Import (US$ Thousand),81258054.63,7.661
Germany,2010,Import,Plastic or Rubber,Micro Import (US$ Thousand),51143243.06,4.8218
Germany,2010,Import,Stone and Glass,Micro Import (US$ Thousand),27208681.16,2.5652
Germany,2010,Import,Textiles and Clothing,Micro Import (US$ Thousand),47199934.47,4.45
Germany,2010,Import,Transportation,Micro Import (US$ Thousand),122786661.6,11.5763
Germany,2010,Import,Vegetable,Micro Import (US$ Thousand),34190047.38,3.2234
Germany,2010,Import,Wood,Micro Import (US$ Thousand),30694146.16,2.8938
Germany,2011,Export,  All Products,Export (US$ Thousand),1483802558,100
Germany,2011,Export, Capital goods,Macro Export (US$ Thousand),560307700.2,37.7616
Germany,2011,Export, Consumer goods,Macro Export (US$ Thousand),509493525,34.337
Germany,2011,Export, Intermediate goods,Macro Export (US$ Thousand),304289047,20.5074
Germany,2011,Export, Raw materials,Macro Export (US$ Thousand),47054181.43,3.1712
Germany,2011,Export,Other,Macro Export (US$ Thousand),62658104.41,4.2228
Germany,2011,Export,Animal,Micro Export (US$ Thousand),25489648.06,1.7179
Germany,2011,Export,Chemicals,Micro Export (US$ Thousand),172814512.9,11.6467
