reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_perc
Japan,2009,Import, Consumer goods,Macro Import (US$ Thousand),179520291.6,32.5227
Japan,2009,Import, Intermediate goods,Macro Import (US$ Thousand),78016863.38,14.1339
Japan,2009,Import, Raw materials,Macro Import (US$ Thousand),164226224.2,29.7519
Japan,2009,Import,Other,Macro Import (US$ Thousand),10308861.46,1.8676
Japan,2009,Import,Animal,Micro Import (US$ Thousand),19805642.72,3.5881
Japan,2009,Import,Chemicals,Micro Import (US$ Thousand),43540469.93,7.888
Japan,2009,Import,Food Products,Micro Import (US$ Thousand),20675376.14,3.7456
Japan,2009,Import,Footwear,Micro Import (US$ Thousand),5321477.583,0.9641
Japan,2009,Import,Fuels,Micro Import (US$ Thousand),152488995.6,27.6256
Japan,2009,Import,Hides and Skins,Micro Import (US$ Thousand),5148533.022,0.9327
Japan,2009,Import,Mach and Elec,Micro Import (US$ Thousand),110902309.6,20.0916
Japan,2009,Import,Metals,Micro Import (US$ Thousand),21676047.2,3.9269
Japan,2009,Import,Minerals,Micro Import (US$ Thousand),21810975.62,3.9514
Japan,2009,Import,Miscellaneous,Micro Import (US$ Thousand),43818554.12,7.9384
Japan,2009,Import,Plastic or Rubber,Micro Import (US$ Thousand),13334915.68,2.4158
Japan,2009,Import,Stone and Glass,Micro Import (US$ Thousand),12220512.44,2.2139
Japan,2009,Import,Textiles and Clothing,Micro Import (US$ Thousand),31090843.55,5.6326
Japan,2009,Import,Transportation,Micro Import (US$ Thousand),16314033.99,2.9555
Japan,2009,Import,Vegetable,Micro Import (US$ Thousand),19549061.13,3.5416
Japan,2009,Import,Wood,Micro Import (US$ Thousand),14287002.53,2.5883
Japan,2010,Export,  All Products,Export (US$ Thousand),769773832.5,100
Japan,2010,Export, Capital goods,Macro Export (US$ Thousand),381850480,49.6055
Japan,2010,Export, Consumer goods,Macro Export (US$ Thousand),173810382.5,22.5794
Japan,2010,Export, Intermediate goods,Macro Export (US$ Thousand),164343545.5,21.3496
Japan,2010,Export, Raw materials,Macro Export (US$ Thousand),9723604.826,1.2632
Japan,2010,Export,Other,Macro Export (US$ Thousand),40045819.71,5.2023
Japan,2010,Export,Animal,Micro Export (US$ Thousand),1474229.431,0.1915
Japan,2010,Export,Chemicals,Micro Export (US$ Thousand),56894921.15,7.3911
Japan,2010,Export,Food Products,Micro Export (US$ Thousand),2881864.318,0.3744
Japan,2010,Export,Footwear,Micro Export (US$ Thousand),200949.453,0.0261
Japan,2010,Export,Fuels,Micro Export (US$ Thousand),13048254.44,1.6951
Japan,2010,Export,Hides and Skins,Micro Export (US$ Thousand),280899.473,0.0365
Japan,2010,Export,Mach and Elec,Micro Export (US$ Thousand),281347507.3,36.5494
Japan,2010,Export,Metals,Micro Export (US$ Thousand),70427500.94,9.1491
Japan,2010,Export,Minerals,Micro Export (US$ Thousand),872835.279,0.1134
Japan,2010,Export,Miscellaneous,Micro Export (US$ Thousand),87301343.6,11.3412
Japan,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),42139426.37,5.4743
Japan,2010,Export,Stone and Glass,Micro Export (US$ Thousand),21930478.4,2.849
Japan,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),8609205.498,1.1184
Japan,2010,Export,Transportation,Micro Export (US$ Thousand),176091041.3,22.8757
Japan,2010,Export,Vegetable,Micro Export (US$ Thousand),739848.028,0.0961
Japan,2010,Export,Wood,Micro Export (US$ Thousand),5533527.468,0.7189
Japan,2010,Import,  All Products,Import (US$ Thousand),694059160,100
Japan,2010,Import, Capital goods,Macro Import (US$ Thousand),149259686,21.5053
Japan,2010,Import, Consumer goods,Macro Import (US$ Thousand),216515286.5,31.1955
Japan,2010,Import, Intermediate goods,Macro Import (US$ Thousand),103967541.9,14.9796
Japan,2010,Import, Raw materials,Macro Import (US$ Thousand),212245259.4,30.5803
Japan,2010,Import,Other,Macro Import (US$ Thousand),12071386.15,1.7393
Japan,2010,Import,Animal,Micro Import (US$ Thousand),22397976.73,3.2271
Japan,2010,Import,Chemicals,Micro Import (US$ Thousand),53461396.95,7.7027
Japan,2010,Import,Food Products,Micro Import (US$ Thousand),22724534.49,3.2741
Japan,2010,Import,Footwear,Micro Import (US$ Thousand),5723243.631,0.8246
Japan,2010,Import,Fuels,Micro Import (US$ Thousand),199138617,28.6919
Japan,2010,Import,Hides and Skins,Micro Import (US$ Thousand),5587166.5,0.805
Japan,2010,Import,Mach and Elec,Micro Import (US$ Thousand),142287240,20.5007
Japan,2010,Import,Metals,Micro Import (US$ Thousand),32982262.49,4.7521
Japan,2010,Import,Minerals,Micro Import (US$ Thousand),34124436.06,4.9166
Japan,2010,Import,Miscellaneous,Micro Import (US$ Thousand),50425482.79,7.2653
Japan,2010,Import,Plastic or Rubber,Micro Import (US$ Thousand),18197779.53,2.6219
Japan,2010,Import,Stone and Glass,Micro Import (US$ Thousand),16366938.88,2.3581
Japan,2010,Import,Textiles and Clothing,Micro Import (US$ Thousand),32797859.6,4.7255
Japan,2010,Import,Transportation,Micro Import (US$ Thousand),19494568.34,2.8088
Japan,2010,Import,Vegetable,Micro Import (US$ Thousand),21594769.23,3.1114
Japan,2010,Import,Wood,Micro Import (US$ Thousand),16754887.78,2.414
Japan,2011,Export,  All Products,Export (US$ Thousand),823183758.6,100
Japan,2011,Export, Capital goods,Macro Export (US$ Thousand),410935007.8,49.9202
Japan,2011,Export, Consumer goods,Macro Export (US$ Thousand),179586106.3,21.816
Japan,2011,Export, Intermediate goods,Macro Export (US$ Thousand),181826563.8,22.0882
Japan,2011,Export, Raw materials,Macro Export (US$ Thousand),11443048.05,1.3901
Japan,2011,Export,Other,Macro Export (US$ Thousand),39393032.73,4.7855
Japan,2011,Export,Animal,Micro Export (US$ Thousand),1370699.598,0.1665
Japan,2011,Export,Chemicals,Micro Export (US$ Thousand),62441565.06,7.5854
Japan,2011,Export,Food Products,Micro Export (US$ Thousand),2853830.817,0.3467
Japan,2011,Export,Footwear,Micro Export (US$ Thousand),199248.523,0.0242
Japan,2011,Export,Fuels,Micro Export (US$ Thousand),16293953.71,1.9794
Japan,2011,Export,Hides and Skins,Micro Export (US$ Thousand),348718.413,0.0424
Japan,2011,Export,Mach and Elec,Micro Export (US$ Thousand),300770874.5,36.5375
Japan,2011,Export,Metals,Micro Export (US$ Thousand),76819005.91,9.3319
Japan,2011,Export,Minerals,Micro Export (US$ Thousand),987337.915,0.1199
Japan,2011,Export,Miscellaneous,Micro Export (US$ Thousand),93412493.56,11.3477
Japan,2011,Export,Plastic or Rubber,Micro Export (US$ Thousand),45385507.47,5.5134
Japan,2011,Export,Stone and Glass,Micro Export (US$ Thousand),28070845.2,3.41
Japan,2011,Export,Textiles and Clothing,Micro Export (US$ Thousand),9865705.51,1.1985
Japan,2011,Export,Transportation,Micro Export (US$ Thousand),178240657.5,21.6526
Japan,2011,Export,Vegetable,Micro Export (US$ Thousand),799664.28,0.0971
Japan,2011,Export,Wood,Micro Export (US$ Thousand),5323650.63,0.6467
Japan,2011,Import,  All Products,Import (US$ Thousand),855380474.2,100
Japan,2011,Import, Capital goods,Macro Import (US$ Thousand),163788079.8,19.148
Japan,2011,Import, Consumer goods,Macro Import (US$ Thousand),276525071.7,32.3277
Japan,2011,Import, Intermediate goods,Macro Import (US$ Thousand),129458991.3,15.1347
Japan,2011,Import, Raw materials,Macro Import (US$ Thousand),273149152.3,31.9331
Japan,2011,Import,Other,Macro Import (US$ Thousand),12459179.08,1.4565
Japan,2011,Import,Animal,Micro Import (US$ Thousand),26531335.92,3.1017
Japan,2011,Import,Chemicals,Micro Import (US$ Thousand),66367265.03,7.7588
Japan,2011,Import,Food Products,Micro Import (US$ Thousand),28682344.91,3.3532
Japan,2011,Import,Footwear,Micro Import (US$ Thousand),6525476.204,0.7629
Japan,2011,Import,Fuels,Micro Import (US$ Thousand),274651704,32.1087
Japan,2011,Import,Hides and Skins,Micro Import (US$ Thousand),6217534.568,0.7269
Japan,2011,Import,Mach and Elec,Micro Import (US$ Thousand),156203762,18.2613
Japan,2011,Import,Metals,Micro Import (US$ Thousand),40701355.43,4.7583
Japan,2011,Import,Minerals,Micro Import (US$ Thousand),41021593.83,4.7957
Japan,2011,Import,Miscellaneous,Micro Import (US$ Thousand),55821903.55,6.526
Japan,2011,Import,Plastic or Rubber,Micro Import (US$ Thousand),23037588.28,2.6933
Japan,2011,Import,Stone and Glass,Micro Import (US$ Thousand),19530052.86,2.2832
Japan,2011,Import,Textiles and Clothing,Micro Import (US$ Thousand),40938495.19,4.786
Japan,2011,Import,Transportation,Micro Import (US$ Thousand),22100705.18,2.5837
Japan,2011,Import,Vegetable,Micro Import (US$ Thousand),27080215.46,3.1659
Japan,2011,Import,Wood,Micro Import (US$ Thousand),19969141.79,2.3345
Japan,2012,Export,  All Products,Export (US$ Thousand),798620022.6,100
Japan,2012,Export, Capital goods,Macro Export (US$ Thousand),396105050,49.5987
Japan,2012,Export, Consumer goods,Macro Export (US$ Thousand),183797613,23.0144
Japan,2012,Export, Intermediate goods,Macro Export (US$ Thousand),171289827.1,21.4482
Japan,2012,Export, Raw materials,Macro Export (US$ Thousand),11917434.05,1.4923
Japan,2012,Export,Other,Macro Export (US$ Thousand),35510098.43,4.4464
Japan,2012,Export,Animal,Micro Export (US$ Thousand),1356904.913,0.1699
Japan,2012,Export,Chemicals,Micro Export (US$ Thousand),58530855.67,7.329
Japan,2012,Export,Food Products,Micro Export (US$ Thousand),2825438.756,0.3538
Japan,2012,Export,Footwear,Micro Export (US$ Thousand),194231.936,0.0243
Japan,2012,Export,Fuels,Micro Export (US$ Thousand),13434367.89,1.6822
Japan,2012,Export,Hides and Skins,Micro Export (US$ Thousand),350151.103,0.0438
Japan,2012,Export,Mach and Elec,Micro Export (US$ Thousand),276067996.7,34.5681
Japan,2012,Export,Metals,Micro Export (US$ Thousand),75278193.37,9.426
Japan,2012,Export,Minerals,Micro Export (US$ Thousand),943252.169,0.1181
Japan,2012,Export,Miscellaneous,Micro Export (US$ Thousand),97673865.8,12.2303
Japan,2012,Export,Plastic or Rubber,Micro Export (US$ Thousand),43440369.06,5.4394
Japan,2012,Export,Stone and Glass,Micro Export (US$ Thousand),23268748.89,2.9136
