country,population,gdp,trade_balance,top_importer,import_value,top_exporter,export_value
Maldives,515696,532745715,-4313674793,United Arab Emirates,5367580595,Thailand,6588936177
Mexico,126190788,122069948,-2282353736,United States of America,2162822378,United States of America,344602284
Macedonia,2082958,1267213105,-1590954016,Germany,1050359495,Germany,3248099524
Mali,19077690,1716343283,-1793896111,Senegal,8897809461,South Africa,7802152665
Malta,483530,1455342293,3039132388,Italy,1659452867,Bunkers,6056922397
Myanmar,53708395,7121480338,0,China,6222920994,China,5559601161
Montenegro,622345,5504166667,-131325543,Republic of Serbia,5794487149,Republic of Serbia,1100860779
Mongolia,3170208,1306674914,-7281378599,China,1968833499,China,6505529539
Mozambique,29495962,1471722321,-536636744,South Africa,1772616966,India,1435777689
Mauritania,4403319,5234817927,-1629359893,South Korea,6368589653,China,6983173248
Mauritius,1265303,1422034867,-1923181197,India,1034832259,France,2782031592
Malawi,18143315,7064971176,0,South Africa,4521556643,Belgium,194116339
Malaysia,31528585,3585819435,2514361478,China,4.33E+14,Singapore,3447103849
Namibia,2448255,1452171163,-8985340448,South Africa,3683650078,China,1247965611
New Caledonia,284060,0,0,France,649825053,China,442569729
Niger,22442948,9290938457,-1607007861,France,527395473,France,289933424
Nigeria,195874740,3972696161,-7999635328,China,8348841486,India,9906692889
Nicaragua,6465513,1311784542,-1219179037,United States of America,204159694,United States of America,3063901577
Netherlands,17231017,9136584657,1004171017,Germany,8821392346,Germany,12045283
Norway,5314336,4341666154,2522127267,Sweden,1056839877,United Kingdom,2654184707
Nepal,28087871,2904039898,-1085053207,India,6519702259,India,420179765
New Zealand,4885500,2049239179,-304443842,China,8633405518,China,9640909658
Oman,4829483,7927672302,1088816645,United Arab Emirates,1182262557,Unspecified,2727359914
Pakistan,212215030,3145882105,-3446790169,China,1454468675,United States of America,3802499709
Panama,4176873,650551,0,China,2894238038,United States of America,2307907929
Peru,31989256,2220449705,4084768453,China,1005977321,China,1323791595
Philippines,106651922,3309103436,-4199498929,China,2257934276,United States of America,1055041246
Palau,17907,2839949,-832342,United States of America,5367327789,Japan,665685871
Papua New Guinea,8606316,2349760769,0,Australia,286541271,Australia,1621045419
Poland,37978548,5856638148,2012570258,Germany,5995697708,Germany,736917747
Portugal,10281762,2406745245,20867546,Spain,3005980037,Spain,1873396443
Paraguay,6956071,4049695378,649297301,China,3764178653,Brazil,2808903557
French Polynesia,277679,0,0,France,390279178,Japan,33982412
Qatar,2781677,1913620879,36750,United States of America,6118000805,South Korea,1163480854
Romania,19473936,2395525167,-7692485284,Germany,2002506042,Germany,1839157852
Russia,144478050,1657554647,1652882408,China,5221763737,China,5601990378
Rwanda,12301939,9508715596,-1593896006,China,377773207,Democratic Republic of the Congo,197810196
Saudi Arabia,33699947,7865218316,1041209671,China,2224371479,Unspecified,231583795
Sudan,41801533,4085153613,-8565760148,China,2067332176,China,6323168259
Senegal,15854360,2412959955,-3434818715,France,1023897895,Mali,6986677938
Republic of Serbia,6982084,5059728915,-4309574934,Germany,3474415432,Italy,2356497808
Singapore,5638676,3641566578,9672990807,China,4963433918,China,5039644853
Solomon Islands,652858,1395608472,0,Australia,1095802596,China,3803527366
Sierra Leone,7650154,4085114794,-8889713072,China,1801656244,Netherlands,2363867256
El Salvador,6420744,26057,-513582,United States of America,3798922288,United States of America,2624572614
Sao Tome and Principe,211028,4222967623,0,Portugal,7970726585,Netherlands,4563001249
Suriname,575991,3590753769,0,Unspecified,6438098027,Unspecified,3906066193
Slovakia,5447011,1059046322,2145079357,Germany,1679702611,Germany,2071766471
Slovenia,2067372,5400797211,4472063562,Germany,5908474565,Germany,7404925554
Sweden,10183175,5560864889,1390621169,Germany,3045371828,Germany,1762622254
Swaziland,1136191,4710618472,-1606601633,South Africa,1248451328,South Africa,1249654441
Seychelles,96762,1590180446,-2392966363,United Arab Emirates,3193030141,United Arab Emirates,2027828175
Syria,16906283,0,0,Turkey,1672062124,Iraq,2294520028
Chad,15477751,1127311524,-2126079285,0,0,0,0
Togo,7889094,5358722983,-5879819885,China,3170621745,Burkina Faso,1342317036
Thailand,69428524,5049927577,5216696275,China,4995283535,China,3017544605
