country,population,gdp,trade_balance,top_importer,import_value,top_exporter,export_value,gdp_pop
Mongolia,3170208,13066.74914,-728.1378599,China,1968.833499,China,6505.529539,4121.732435
Swaziland,1136191,4710.618472,-160.6601633,South Africa,1248.451328,South Africa,1249.654441,4145.974112
Samoa,196130,820.4917983,-125.016794,New Zealand,90.4772596,American Samoa,12.29020542,4183.407935
Armenia,2951776,12433.08992,-1949.003913,Russian Federation,1259.288574,Russian Federation,641.8642516,4212.070943
Jordan,9956011,42231.29578,-7990.140845,Saudi Arabia,3369.691847,United States,1768.377998,4241.788783
Tonga,103197,450.3533139,-241.4987693,New Zealand,62.424969,New Zealand,4.377102,4364.015561
Guatemala,17247807,78460.44792,-7504.122779,United States,7337.752714,United States,3797.850941,4549.010081
Georgia,3731000,17599.66063,-1872.301803,Turkey,1473.024191,Azerbaijan,502.0424144,4717.143026
Azerbaijan,9942334,46939.52941,7779.294117,Russian Federation,1884.217284,Italy,5879.775325,4721.178087
Belize,383071,1871.203164,-5.7178673,United States,407.2158374,United States,75.47086318,4884.742421
Guyana,779004,3878.662621,-451.9506616,United States,2279.54146,Canada,399.4119637,4979.002189
Albania,2866376,15102.5009,-2071.014879,Italy,1623.65504,Italy,1381.26165,5268.848504
Jamaica,2934855,15713.90882,-2060.199501,United States,2467.557799,United States,537.7398879,5354.23686
Paraguay,6956071,40496.95378,649.297301,China,3764.178653,Brazil,2808.903557,5821.814323
Iraq,38433600,224228.0105,17985.24635,China,10506.35815,Unspecified,84303.3,5834.166211
Namibia,2448255,14521.71163,-898.5340448,South Africa,3683.650078,China,1247.965611,5931.453885
Bosnia and Herzegovina,3323929,20161.86542,-3063.334943,Germany,1386.488199,Germany,1052.048279,6065.672708
Macedonia,2082958,12672.13105,-1590.954016,Germany,1050.359495,Germany,3248.099524,6083.718947
Suriname,575991,3590.753769,0,Unspecified,643.8098027,Unspecified,390.6066193,6234.044923
Fiji,883483,5536.759659,0,Singapore,566.8870743,United States,186.8481037,6266.967965
Belarus,9485386,59662.49509,629.61327,Russian Federation,22426.2872,Russian Federation,12879.206,6289.938553
Ecuador,17084357,108398.058,-246.095,United States,5010.624686,United States,6671.509,6344.871979
South Africa,57779622,368288.9398,1266.29338,China,17087.38597,China,8550.852952,6374.028196
Colombia,49648685,331047.0401,-16219.1126,United States,13095.64407,United States,11325.21957,6667.7907
Peru,31989256,222044.9705,4084.768453,China,10059.77321,China,13237.91595,6941.235848
Turkmenistan,5850908,40761.14286,4145,Russian Federation,254.491486,Russian Federation,1029.302693,6966.635411
Libya,6678567,48364.20857,10692.30769,Turkey,1872.055857,Italy,15403.95009,7241.704481
Republic of Serbia,6982084,50597.28915,-4309.574934,Germany,3474.415432,Italy,2356.497808,7246.731656
Thailand,69428524,504992.7577,52166.96275,China,49952.83535,China,30175.44605,7273.563207
Saint Vincent and the Grenadines,110210,811.3,0,United States,136.6205148,Dominica,7.795647952,7361.400962
Dominica,71625,550.8925926,-122.1286296,United States,77.878134,Trinidad and Tobago,6.941986,7691.345097
Gabon,2119275,16853.58931,4891.610053,France,823.737916,United States,3160.351522,7952.525892
Dominican Republic,10627165,85555.39039,-4237.647272,United States,8675.109355,United States,4715.909981,8050.631602
Botswana,2254126,18616.0189,295.8383892,South Africa,3866.285087,Belgium,1366.481562,8258.641664
Lebanon,6848925,56639.15556,-9214.834661,China,2048.777924,United Arab Emirates,457.3940885,8269.787676
Cuba,11338138,100023,1909,Unspecified,3729.170292,Unspecified,1871.030461,8821.818891
Montenegro,622345,5504.166667,-1313.25543,"Serbia, FR(Serbia/Montenegro)",579.4487149,"Serbia, FR(Serbia/Montenegro)",110.0860779,8844.236986
Brazil,209469333,1868626.088,9878.48267,China,34730.02491,China,64205.64706,8920.762105
Bulgaria,7024216,65132.95112,1712.492456,Germany,4692.937404,Germany,4928.454239,9272.629304
Turkey,82319724,771350.3305,-8462.96847,Russian Federation,21989.5711,Germany,16144.21482,9370.176344
Mexico,126190788,1220699.48,-22823.53736,United States,216282.2378,United States,344602.284,9673.443675
China,1392730000,13608151.87,106623.4763,"Korea, Rep.",204566.4512,United States,479701.5805,9770.847092
Kazakhstan,18276499,179339.9949,21943.49907,Russian Federation,13237.47087,Italy,11734.2548,9812.601139
Maldives,515696,5327.45715,-431.3674793,United Arab Emirates,536.7580595,Thailand,65.88936177,10330.61561
Saint Lucia,181889,1921.848222,0,United States,290.8678951,United States,45.67878915,10566.04974
Grenada,111454,1185.925926,-11.4,United States,112.208135,Dominica,5.009413,10640.49676
Mauritius,1265303,14220.34867,-1923.181197,India,1034.832259,France,278.2031592,11238.69039
Malaysia,31528585,358581.9435,25143.61478,China,43315.86017,Singapore,34471.03849,11373.233
Russia,144478050,1657554.647,165288.2408,China,52217.63737,China,56019.90378,11472.70916
Argentina,44494502,519871.5198,-11122.18744,Brazil,15573.23457,Brazil,11291.35744,11683.94962
Costa Rica,4999441,60130.10612,304.318537,United States,6476.0898,United States,4624.930972,12027.36588
Romania,19473936,239552.5167,-7692.485284,Germany,20025.06042,Germany,18391.57852,12301.1864
Croatia,4089400,60971.69932,-515.145723,Germany,4288.523819,Italy,2510.893604,14909.69319
Poland,37978548,585663.8148,20125.70258,Germany,59956.97708,Germany,73691.7747,15420.91116
Panama,4176873,65055.1,0,China,2894.238038,United States,2307.907929,15575.07255
Palau,17907,283.9949,-83.2342,United States,53.67327789,Japan,6.65685871,15859.43486
Chile,18729160,298231.1335,275.876947,China,17504.35585,China,25286.93807,15923.35874
Hungary,9768785,157882.9128,6905.54565,Germany,30458.35255,Germany,33803.39382,16161.98051
Oman,4829483,79276.72302,10888.16645,United Arab Emirates,11822.62557,Unspecified,27273.59914,16415.15728
Seychelles,96762,1590.180446,-239.2966363,United Arab Emirates,319.3030141,United Arab Emirates,202.7828175,16433.93528
Antigua and Barbuda,96286,1610.574074,0,United States,283.253126,United Arab Emirates,8.095873156,16726.98081
Trinidad and Tobago,1389858,23808.14675,0,United States,2970.789054,United States,4487.844814,17129.91309
Uruguay,3449299,59596.88502,1201.644694,China,1678.296627,China,1500.441917,17277.97011
Latvia,1926542,34409.22918,-63.710893,Lithuania,3238.296674,Lithuania,2575.314035,17860.6172
Barbados,286641,5145,56.5247,United States,631.860293,Unspecified,109.1513565,17949.28151
Lithuania,2789533,53429.06643,1037.587513,Russian Federation,5172.731878,Russian Federation,4665.591142,19153.40899
Saint Kitts and Nevis,52441,1010.822222,11.32996132,United States,207.1454033,United States,22.8329749,19275.41851
Slovakia,5447011,105904.6322,2145.079357,Germany,16797.02611,Germany,20717.66471,19442.70577
Greece,10727668,218031.8446,-569.581282,Germany,6572.304165,Italy,4072.481755,20324.25357
Cyprus,1189265,24961.98866,196.248228,Greece,1921.911612,Cayman Islands,753.4825749,20989.42512
Czech Republic,10625695,245225.8829,15652.75216,Germany,46370.43465,Germany,65641.69339,23078.57349
Estonia,1320884,30732.14453,1079.593973,Germany,1974.457594,Finland,2701.276342,23266.34627
Saudi Arabia,33699947,786521.8316,104120.9671,China,22243.71479,Unspecified,231583.795,23338.96346
